Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",93.500000,-303.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",273.500000,-303.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",273.500000,-483.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",273.500000,-393.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",213.500000,-123.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",213.500000,-303.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",153.500000,-303.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",333.500000,-123.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",333.500000,-393.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",273.500000,-123.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",213.500000,-483.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",333.500000,-213.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",93.500000,-213.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",273.500000,-213.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",93.500000,-483.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",153.500000,-483.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",153.500000,-213.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",213.500000,-213.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",153.500000,-393.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",93.500000,-393.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",93.500000,-123.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",333.500000,-483.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",213.500000,-393.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",333.500000,-303.000000,90.000000,top
"J1","Conn_01x20","PinHeader_2x10_P2.54mm_Vertical_SMD",153.500000,-123.000000,90.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",113.250000,-67.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",113.250000,-157.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",293.250000,-157.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",293.250000,-427.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",353.250000,-157.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",173.250000,-427.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",353.250000,-67.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",353.250000,-337.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",353.250000,-427.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",113.250000,-427.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",293.250000,-247.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",353.250000,-247.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",233.250000,-157.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",233.250000,-427.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",113.250000,-247.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",173.250000,-157.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",293.250000,-67.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",173.250000,-247.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",113.250000,-337.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",233.250000,-337.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",233.250000,-247.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",293.250000,-337.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",173.250000,-67.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",173.250000,-337.750000,180.000000,top
"TP1","VINF","PinHeader_1x01_P2.54mm_Vertical",233.250000,-67.750000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",278.500000,-161.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",338.500000,-341.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",98.500000,-431.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",338.500000,-161.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",98.500000,-251.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",218.500000,-341.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",98.500000,-341.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",158.500000,-251.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",158.500000,-341.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",218.500000,-251.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",338.500000,-251.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",278.500000,-341.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",278.500000,-251.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",218.500000,-161.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",98.500000,-161.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",338.500000,-71.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",218.500000,-431.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",338.500000,-431.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",278.500000,-71.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",158.500000,-161.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",278.500000,-431.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",218.500000,-71.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",158.500000,-71.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",158.500000,-431.000000,180.000000,top
"TP2","+13","PinHeader_1x01_P2.54mm_Vertical",98.500000,-71.000000,180.000000,top
"TP3","+5","PinHeader_1x01_P2.54mm_Vertical",204.250000,-253.500000,180.000000,top
"TP3","+5","PinHeader_1x01_P2.54mm_Vertical",204.250000,-433.500000,180.000000,top
"TP3","+5","PinHeader_1x01_P2.54mm_Vertical",324.250000,-73.500000,180.000000,top
"TP3","+5","PinHeader_1x01_P2.54mm_Vertical",324.250000,-343.500000,180.000000,top
